Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,83.029999,83.480003,82.220001,82.750000,75.543617,1372454
2018-01-03,83.000000,84.650002,82.860001,84.120003,76.794312,1623702
2018-01-04,84.190002,86.089996,84.190002,85.820000,78.346260,1796349
2018-01-05,86.230003,86.230003,84.419998,85.599998,78.145424,1689901
2018-01-08,85.830002,86.620003,85.800003,86.620003,79.076591,1330866
2018-01-09,86.309998,87.250000,86.309998,86.879997,79.313950,1117093
2018-01-10,86.849998,90.279999,86.529999,90.269997,82.408722,2630181
2018-01-11,90.410004,91.900002,89.910004,90.019997,82.180496,2816239
2018-01-12,90.410004,90.750000,89.900002,90.400002,82.527412,1301019
2018-01-15,90.400002,90.739998,89.620003,90.000000,82.162239,1374298
2018-01-16,89.900002,90.269997,89.650002,89.970001,82.134857,1621132
2018-01-17,89.370003,90.300003,89.250000,89.739998,81.924881,1287333
2018-01-18,90.489998,92.559998,90.019997,90.400002,82.527412,2656032
2018-01-19,90.940002,92.879997,90.870003,92.790001,84.709267,2523329
2018-01-22,93.000000,93.519997,92.610001,93.250000,85.129211,1866217
2018-01-23,94.000000,94.000000,91.739998,92.099998,84.079361,1848638
2018-01-24,92.059998,92.339996,90.480003,90.500000,82.618706,1770657
2018-01-25,90.500000,90.790001,87.279999,88.000000,80.336411,2766900
2018-01-26,88.260002,89.760002,88.070000,89.559998,81.760567,1688553
2018-01-29,90.500000,90.839996,89.639999,90.419998,82.545662,1589726
2018-01-30,90.120003,90.919998,89.330002,89.800003,81.979660,1353425
2018-01-31,90.010002,92.769997,90.000000,92.500000,84.444534,2051737
2018-02-01,93.099998,93.199997,90.730003,91.169998,83.230354,1963564
2018-02-02,89.360001,90.279999,87.129997,87.970001,80.309021,2700960
2018-02-05,87.190002,87.190002,85.320000,86.599998,79.058334,2275453
2018-02-06,83.519997,87.139999,82.050003,85.010002,77.606804,4166870
2018-02-07,86.059998,88.459999,85.110001,88.400002,80.701576,2662190
2018-02-08,87.769997,88.059998,85.230003,85.510002,78.063255,2627891
2018-02-09,84.910004,85.440002,82.019997,83.540001,76.264824,3554261
2018-02-12,84.000000,84.000000,82.169998,82.519997,75.333656,2890116
2018-02-13,82.519997,84.010002,82.459999,83.150002,75.908791,2150253
2018-02-14,83.919998,84.480003,81.330002,84.169998,76.839951,2325684
2018-02-15,90.500000,93.470001,89.779999,92.820000,84.736656,5873239
2018-02-16,93.370003,95.599998,93.209999,95.529999,87.210655,3480413
2018-02-19,95.529999,96.250000,94.449997,94.889999,86.626389,1575164
2018-02-20,94.510002,97.470001,94.209999,96.989998,88.543518,2250827
2018-02-21,97.470001,97.860001,96.900002,97.660004,89.155159,2045573
