Date,Day,Month,Year,dayName,dayOfWeek,Open_BA,High_BA,Low_BA,Close_BA,Adj_Close_BA,Volume_BA,Open_AIR,High_AIR,Low_AIR,Close_AIR,Adj_Close_AIR,Volume_AIR,Performance_BA,Performance_AIR,Count,Change_BA,Change_AIR,%Change_BA,%Change_AIR,%Change_Volume_BA,%Change_Volume_AIR
2019-03-01,1,3,2019,Friday,5,446.01001,446.01001,440.190002,440.619995,430.299957,5124200,114.059998,114.339996,113.339996,113.900002,105.71389,1263899,Negative,Negative,1,-5.390015000000005,-0.15999599999999248,,,,
2019-03-04,4,3,2019,Monday,1,443.220001,444.5,426.630005,432.690002,422.555725,5971000,114.300003,114.900002,113.68,114.019997,105.825272,1133867,Negative,Negative,2,-10.529999000000032,-0.2800060000000002,0.9536121884633015,0.7500812520313842,0.16525506420514424,-0.1028816384853537
2019-03-05,5,3,2019,Tuesday,2,431.040009,433.850006,428.640015,430.119995,420.045898,2844300,113.5,113.660004,112.120003,113.239998,105.101334,1510042,Negative,Negative,3,-0.9200139999999806,-0.26000200000000007,-0.9126292414652672,-0.07144132625729493,-0.5236476302126947,0.33176289635380507
2019-03-06,6,3,2019,Wednesday,3,429.700012,432.0,422.079987,424.459991,414.518463,4159400,112.839996,113.940002,112.82,113.720001,105.546837,1035032,Negative,positive,4,-5.240021000000013,0.880004999999997,4.695588328003838,-4.384608579933989,0.46236332313750306,-0.3145674093833152
2019-03-07,7,3,2019,Thursday,4,423.359985,434.350006,416.440002,422.559998,412.662964,4893600,113.139999,113.660004,112.080002,112.739998,104.637268,1682374,Negative,Negative,5,-0.7999869999999873,-0.40000100000000316,-0.847331337030904,-1.4545440082726855,0.17651584363129302,0.6254318707054467
2019-03-08,8,3,2019,Friday,5,416.769989,423.429993,415.5,422.540009,412.643463,3794900,110.919998,111.919998,109.300003,111.519997,103.504936,1678207,positive,positive,6,5.770019999999988,0.5999989999999968,-8.212642205435937,-2.499993750015605,-0.22451773745299985,-0.0024768571078725987
2019-03-11,11,3,2019,Monday,1,371.269989,402.670013,365.549988,400.01001,390.641113,34742200,112.0,113.160004,111.559998,112.959999,104.841454,1217340,positive,positive,7,28.740021000000013,0.9599989999999963,3.980922249836235,0.6000010000016689,8.15497114548473,-0.27461868529925093
2019-03-12,12,3,2019,Tuesday,2,384.709991,390.0,368.0,375.410004,366.61731,36922600,114.099998,114.68,112.699997,114.580002,106.345024,1614290,Negative,positive,8,-9.299986999999987,0.4800039999999939,-1.3235901254212719,-0.49999531249512164,0.06275941074543345,0.3260798133635632
2019-03-13,13,3,2019,Wednesday,3,378.429993,381.769989,363.329987,377.140015,368.306793,32662300,115.0,116.959999,114.580002,116.879997,108.479713,2334138,Negative,positive,9,-1.2899780000000192,1.879997000000003,-0.8612924942798285,2.916627778101905,-0.11538461538461542,0.44592235595834695
2019-03-14,14,3,2019,Thursday,4,374.98999,380.390015,372.100006,373.299988,364.556732,13514100,117.019997,117.239998,115.300003,117.0,108.591095,1698454,Negative,Negative,10,-1.6900019999999927,-0.019997000000003595,0.310101412582205,-1.0106367191011494,-0.5862477535262367,-0.2723420808881052
2019-03-15,15,3,2019,Friday,5,370.880005,385.709991,366.450012,378.98999,370.113464,26697700,116.900002,119.239998,116.82,117.68,109.222221,3463099,positive,positive,11,8.109984999999995,0.7799980000000062,-5.798802013252073,-40.00575086262269,0.9755440613877358,1.0389713233328663
2019-03-18,18,3,2019,Monday,1,370.0,373.070007,367.200012,372.279999,363.560608,13119200,118.0,118.080002,116.959999,118.0,109.519226,974655,positive,Negative,12,2.2799989999999752,0.0,-0.7188652013536428,-1.0,-0.5086018645800949,-0.7185598794605641
2019-03-19,19,3,2019,Tuesday,2,371.140015,378.769989,371.01001,373.429993,364.683685,9856100,118.300003,119.199997,117.800003,119.0,110.447357,1217304,positive,positive,13,2.289978000000019,0.6999969999999962,0.004376756305614293,inf,-0.2487270565278371,0.24895886236668363
2019-03-20,20,3,2019,Wednesday,3,374.700012,380.799988,373.679993,376.160004,367.349762,8737600,118.720001,119.279999,117.419998,117.860001,109.38929,1651569,positive,Negative,14,1.4599919999999997,-0.8599999999999994,-0.3624427832931201,-2.2285766939001226,-0.1134830206674039,0.3567432621596578
2019-03-21,21,3,2019,Thursday,4,374.040009,377.0,372.230011,372.700012,363.970825,6951000,118.080002,118.779999,117.260002,118.559998,110.038971,991764,Negative,positive,15,-1.3399969999999826,0.47999599999999987,-1.91781119348598,-1.5581348837209306,-0.20447262406152722,-0.399501928166489
2019-03-22,22,3,2019,Friday,5,368.790009,369.859985,361.529999,362.170013,353.687408,10143900,119.440002,119.440002,114.599998,114.599998,106.363586,1548212,Negative,Negative,16,-6.619996000000015,-4.8400040000000075,3.9403065827760066,-11.083425695214146,0.4593439792835563,0.5610689639874002
2019-03-25,25,3,2019,Monday,1,365.0,371.209991,362.890015,370.459991,361.783234,7939600,114.019997,114.860001,112.620003,114.040001,105.843834,1607484,positive,positive,17,5.459991000000002,0.020004000000000133,-1.8247725527326588,-1.0041330544354923,-0.21730300969055294,0.03828416263405776
2019-03-26,26,3,2019,Tuesday,2,375.579987,375.600006,367.600006,370.380005,361.705139,6479700,114.879997,117.300003,114.879997,116.339996,107.978523,1254958,Negative,positive,18,-5.199982000000034,1.4599989999999963,-1.952379225533528,71.98535292941345,-0.1838757620031236,-0.21930296040271624
2019-03-27,27,3,2019,Wednesday,3,371.890015,376.660004,365.549988,374.209991,365.445404,9600000,116.400002,116.779999,114.860001,115.480003,107.180351,1104628,positive,Negative,19,2.319975999999997,-0.9199990000000042,-1.446150775137295,-1.6301367329703695,0.4815500717625816,-0.11978886942829958
2019-03-28,28,3,2019,Thursday,4,376.600006,376.660004,372.329987,374.440002,365.670013,4921300,115.120003,116.639999,115.099998,116.260002,107.904289,950323,Negative,positive,20,-2.160004000000015,1.139999000000003,-1.9310458384052325,-2.239130694707274,-0.4873645833333333,-0.1396895606484717
2019-03-29,29,3,2019,Friday,5,376.519989,382.179993,374.73999,381.420013,372.486572,7694700,116.940002,118.199997,116.599998,117.900002,109.426407,1220119,positive,positive,21,4.9000239999999735,0.9599999999999937,-3.2685254286565857,-0.15789399815263772,0.5635502814297035,0.2838992637240181
2019-04-01,1,4,2019,Monday,1,385.799988,392.899994,383.100006,391.540009,382.369537,7735700,118.900002,119.120003,117.18,117.760002,109.296471,962091,positive,Negative,22,5.740021000000013,-1.1400000000000006,0.17142711954064804,-2.1875000000000084,0.005328342885362547,-0.21147773290965877
2019-04-02,2,4,2019,Tuesday,2,388.5,394.829987,388.5,390.75,381.598022,6401000,117.839996,118.260002,116.760002,117.220001,108.795288,1368037,positive,Negative,23,2.25,-0.619995000000003,-0.6080153713723355,-0.4561447368421029,-0.17253771475108914,0.42194137560792067
2019-04-03,3,4,2019,Wednesday,3,389.679993,391.540009,384.070007,384.73999,375.72879,7350300,118.800003,119.0,117.720001,118.540001,110.020416,1214807,Negative,Negative,24,-4.940003000000047,-0.26000200000000007,-3.19555688888891,-0.580638553536724,0.14830495235119523,-0.11200720448350443
2019-04-04,4,4,2019,Thursday,4,385.98999,397.059998,385.100006,395.859985,386.588318,9388100,118.639999,118.660004,117.480003,117.82,109.352158,1152087,positive,Negative,25,9.869995000000017,-0.8199990000000099,-2.9979734830120393,2.153818047553518,0.27724038474620083,-0.05162960042212472
2019-04-05,5,4,2019,Friday,5,398.070007,398.660004,390.950012,391.929993,382.750366,6857200,118.0,119.220001,117.599998,118.68,110.150345,1614315,Negative,positive,26,-6.140013999999951,0.6800000000000068,-1.6220888663064104,-1.8292693039869543,-0.2695859652112781,0.4012092836738892
2019-04-08,8,4,2019,Monday,1,376.200012,379.799988,371.859985,374.519989,365.748138,14482600,118.879997,121.220001,118.559998,120.739998,112.062302,1502349,Negative,positive,27,-1.6800230000000056,1.860000999999997,-0.7263812427789222,1.735295588235262,1.1120282330980573,-0.06935821075812343
2019-04-09,9,4,2019,Tuesday,2,370.290009,372.23999,367.75,369.040009,360.396515,7980100,118.800003,119.580002,117.699997,118.5,109.983292,1453576,Negative,Negative,28,-1.25,-0.3000030000000038,-0.25596256717914234,-1.1612918487678257,-0.44898706033447033,-0.03246449393582984
2019-04-10,10,4,2019,Wednesday,3,368.399994,368.790009,362.920013,364.940002,356.392517,8285000,118.220001,119.040001,116.5,116.5,108.127037,1420843,Negative,Negative,29,-3.4599919999999997,-1.7200009999999963,1.7679935999999996,4.733279333873243,0.03820754125888137,-0.02251894637776075
2019-04-11,11,4,2019,Thursday,4,364.619995,371.079987,364.209991,370.160004,361.490265,6598400,116.919998,118.339996,116.599998,117.5,109.055161,935093,positive,positive,30,5.540008999999998,0.5800019999999932,-2.601162372629763,-1.337210269063794,-0.20357272178636088,-0.34187450689485044
2019-04-12,12,4,2019,Friday,5,375.75,379.950012,372.0,379.640015,370.74823,7334600,117.540001,119.739998,117.260002,118.599998,110.076103,935016,positive,positive,31,3.8900150000000053,1.0599969999999956,-0.297832368142361,0.8275747325009362,0.11157250242483019,-8.234475073598535e-05
2019-04-15,15,4,2019,Monday,1,376.700012,377.899994,373.679993,375.459991,366.666138,3822100,117.779999,117.800003,116.699997,117.239998,110.34906,702766,Negative,Negative,32,-1.240021000000013,-0.5400010000000037,-1.3187702361044908,-1.5094363474613663,-0.47889455457693675,-0.2483914713758909
2019-04-16,16,4,2019,Tuesday,2,376.51001,384.640015,375.029999,381.720001,372.77951,7083800,117.0,117.980003,116.379997,117.919998,110.98909,900262,positive,positive,33,5.209991000000002,0.9199980000000068,-5.201534490141658,-2.7036968450058434,0.8533790324690615,0.28102668598082436
2019-04-17,17,4,2019,Wednesday,3,384.100006,384.190002,377.480011,377.519989,368.677856,4424400,117.580002,119.459999,117.099998,119.040001,112.043259,1333637,Negative,positive,34,-6.580016999999998,1.4599990000000105,-2.262961298781513,0.5869588846932274,-0.3754199723312347,0.48138764048688043
2019-04-18,18,4,2019,Thursday,4,377.519989,382.170013,377.519989,380.070007,371.168152,4703100,119.0,120.639999,118.18,120.239998,113.172722,2066169,positive,positive,35,2.550017999999966,1.239998,-1.3875397282408186,-0.15068571964775934,0.06299159208028215,0.5492739028686218
2019-04-23,23,4,2019,Tuesday,2,375.540009,376.869995,372.609985,374.019989,365.259857,4894500,120.440002,122.800003,119.339996,122.800003,115.58226,1424239,Negative,positive,36,-1.5200199999999882,2.360000999999997,-1.5960820668716882,0.903229682628518,0.04069656184218928,-0.31068610554122145
2019-04-24,24,4,2019,Wednesday,3,377.890015,381.149994,373.660004,375.459991,366.666138,9855100,122.900002,123.279999,121.779999,122.199997,115.017525,882275,Negative,Negative,37,-2.430024000000003,-0.7000050000000044,0.5986789647504782,-1.2966121624524758,1.013504954540811,-0.38052882978208014
2019-04-25,25,4,2019,Thursday,4,376.01001,384.799988,372.76001,382.799988,373.834198,6615000,122.239998,122.68,121.220001,121.900002,114.735153,891406,positive,Negative,38,6.789977999999962,-0.3399959999999993,-3.7942020325724988,-0.5142948978935906,-0.32877393430812474,0.01034938086197612
2019-04-26,26,4,2019,Friday,5,383.890015,384.0,378.140015,380.790009,371.871307,4259600,122.400002,123.059998,121.199997,121.860001,114.69751,1018510,Negative,Negative,39,-3.1000060000000076,-0.5400010000000037,-1.4565561184439808,0.5882569206696693,-0.3560695389266818,0.14258822579161468
2019-04-29,29,4,2019,Monday,1,378.48999,385.299988,376.76001,379.049988,370.172028,5457300,122.0,123.519997,121.519997,123.019997,115.78933,1069541,positive,positive,40,0.5599980000000073,1.0199970000000036,-1.1806441664951635,-2.888879835407706,0.28117663630387835,0.05010358268450976
2019-04-30,30,4,2019,Tuesday,2,379.5,381.140015,375.049988,377.690002,368.843903,3732800,123.980003,124.0,120.800003,121.879997,114.716331,1391362,Negative,Negative,41,-1.8099980000000073,-2.1000059999999934,-4.232150829110075,-3.058835467163125,-0.31599875396258226,0.3008963658242181
2019-05-02,2,5,2019,Thursday,4,375.5,377.649994,373.25,375.799988,366.998169,2438800,120.660004,121.580002,119.68,119.980003,112.928017,1602622,positive,Negative,42,0.2999879999999848,-0.6800010000000043,-1.1657394096567972,-0.6761909251687821,-0.3466566652378912,0.15183683326122166
2019-05-03,3,5,2019,Friday,5,376.079987,377.899994,374.220001,376.459991,367.6427,2953800,119.239998,120.699997,119.18,119.559998,112.532692,919711,positive,positive,43,0.38000399999998535,0.3199999999999932,0.26673066922678434,-1.4705875432536,0.21116942758733814,-0.4261210690980156
2019-05-06,6,5,2019,Monday,1,367.880005,372.480011,365.630005,371.600006,362.896545,4747600,117.019997,119.839996,115.059998,119.699997,112.664467,943587,positive,positive,44,3.7200010000000248,2.6799999999999926,8.789373269755497,7.375000000000156,0.6072855305030809,0.025960328842429936
2019-05-07,7,5,2019,Tuesday,2,366.329987,367.709991,355.019989,357.230011,348.863129,9740300,119.720001,120.099998,117.059998,117.540001,110.631432,1245034,Negative,Negative,45,-9.099976000000026,-2.1799999999999926,-3.446229449938311,-1.8134328358208949,1.051626084758615,0.31946921693495134
2019-05-08,8,5,2019,Wednesday,3,357.769989,361.519989,353.329987,359.75,351.324127,6030000,117.68,119.279999,116.940002,118.800003,111.817368,1135884,positive,positive,46,1.9800109999999904,1.120002999999997,-1.217584200222065,-1.5137628440366977,-0.3809225588534234,-0.08766828857685816
2019-05-09,9,5,2019,Thursday,4,354.76001,355.649994,347.470001,354.130005,347.822571,6075200,117.639999,118.32,116.379997,116.800003,109.934921,1071567,Negative,Negative,47,-0.6300050000000397,-0.8399959999999993,-1.3181825757533887,-1.7499944196578059,0.007495854063018337,-0.05662285937648559
2019-05-10,10,5,2019,Friday,5,351.869995,355.540009,347.549988,354.670013,348.352936,4574100,117.5,118.360001,116.519997,117.5,110.593773,1146292,positive,Negative,48,2.800017999999966,0.0,-5.444437742557265,-1.0,-0.24708651567026596,0.06973432365871668
2019-05-13,13,5,2019,Monday,1,344.51001,346.630005,337.0,337.369995,331.361115,7757800,117.040001,117.239998,114.82,115.519997,108.730148,1187754,Negative,Negative,49,-7.140015000000005,-1.5200040000000001,-3.5499889643566904,-inf,0.6960276338514682,0.036170539443701966
2019-05-14,14,5,2019,Tuesday,2,339.899994,346.100006,337.230011,343.040009,336.930115,4747800,117.0,119.139999,116.699997,119.0,112.005615,1080454,positive,positive,50,3.1400150000000053,2.0,-1.4397770873030382,-2.315786011089444,-0.38799659697336875,-0.09033857179180205
2019-05-15,15,5,2019,Wednesday,3,339.799988,348.799988,337.640015,345.640015,339.483795,4810000,119.059998,120.879997,118.080002,120.879997,113.775108,1225273,positive,positive,51,5.8400270000000205,1.81999900000001,0.8598723254506779,-0.09000049999999504,0.013100804583175307,0.13403532218863545
2019-05-16,16,5,2019,Thursday,4,348.640015,356.5,345.820007,353.809998,347.50827,6036500,120.660004,122.779999,119.940002,122.5,115.299896,1171146,positive,positive,52,5.169983000000002,1.8399959999999993,-0.11473303120002976,0.010987368674372444,0.254989604989605,-0.0441754613053581
2019-05-17,17,5,2019,Friday,5,351.5,359.98999,351.160004,355.019989,348.696716,5282900,122.459999,122.82,120.5,121.0,113.888054,1346495,positive,Negative,53,3.5199890000000096,-1.4599989999999963,-0.319148825054162,-1.793479442346612,-0.12484055330075372,0.14972428715121766
2019-05-20,20,5,2019,Monday,1,353.0,355.940002,350.529999,352.790009,346.50647,3219900,120.720001,121.18,118.239998,119.080002,112.080917,880698,Negative,Negative,54,-0.20999100000000226,-1.639999000000003,-1.0596567205181613,0.12328775567654993,-0.39050521493876467,-0.3459329592757493
2019-05-21,21,5,2019,Tuesday,2,358.029999,360.769989,354.880005,358.75,352.360291,4022600,119.459999,119.720001,117.839996,118.260002,111.309113,797261,positive,Negative,55,0.7200010000000248,-1.1999969999999962,-4.428723135753518,-0.2682940660329708,0.24929345631851918,-0.09473962697769267
2019-05-22,22,5,2019,Wednesday,3,357.220001,357.570007,351.75,352.779999,346.496643,3841400,118.199997,118.360001,117.360001,118.220001,111.271461,841620,Negative,positive,56,-4.4400020000000495,0.020004000000000133,-7.166660879637524,-1.0166700416751044,-0.045045492964749134,0.05563924486460525
2019-05-23,23,5,2019,Thursday,4,345.920013,351.470001,341.149994,350.549988,344.306335,5305400,117.18,117.779999,114.739998,114.879997,108.127769,1292608,positive,Negative,57,4.629975000000002,-2.300003000000004,-2.0427866924384155,-115.97715456908561,0.3811110532618316,0.5358570376179272
2019-05-24,24,5,2019,Friday,5,355.0,361.399994,353.0,354.899994,348.578857,5387500,115.580002,117.5,115.459999,116.540001,109.690201,941761,Negative,positive,58,-0.10000600000000759,0.9599990000000105,-1.0215996846635258,-1.417390325143058,0.015474799261130157,-0.27142567584294697
2019-05-28,28,5,2019,Tuesday,2,355.290009,359.309998,354.880005,354.880005,348.559235,3504300,116.980003,117.540001,115.68,116.32,109.483124,1121118,Negative,Negative,59,-0.4100040000000149,-0.6600030000000032,3.099794012359096,-1.6875038411498304,-0.3495498839907193,0.19044853205855827
2019-05-29,29,5,2019,Wednesday,3,352.589996,352.790009,346.049988,348.799988,342.587463,4160500,115.959999,116.440002,113.120003,114.379997,107.65715,1460847,Negative,Negative,60,-3.7900080000000003,-1.5800019999999932,8.243831767494616,1.3939315427353898,0.18725565733527372,0.30302697842689175
2019-05-30,30,5,2019,Thursday,4,350.0,351.920013,347.940002,349.869995,343.638428,2183900,114.599998,115.440002,114.480003,115.239998,108.466606,527329,Negative,positive,61,-0.13000499999998283,0.6400000000000006,-0.9656979615874207,-1.4050627784015484,-0.47508712895084726,-0.6390251682756647
2019-05-31,31,5,2019,Friday,5,345.850006,345.850006,341.359985,341.609985,335.525543,3217600,113.599998,114.879997,112.599998,114.860001,108.10894,1422449,Negative,positive,62,-4.240021000000013,1.2600029999999975,31.614291758013714,0.9687546874999944,0.47332753331196487,1.6974602193317643
2019-06-03,3,6,2019,Monday,1,338.200012,339.109985,330.670013,338.890015,332.854034,5148000,113.699997,117.160004,112.860001,117.160004,110.273766,1158939,positive,positive,63,0.6900029999999902,3.4600070000000045,-1.1627357506012324,1.7460307634188261,0.5999502734957733,-0.18525092991031666
2019-06-04,4,6,2019,Tuesday,2,342.570007,346.410004,340.119995,344.619995,338.481964,3592300,116.5,118.699997,115.18,118.480003,111.516174,1259997,positive,positive,64,2.0499880000000417,1.9800029999999964,1.9709841841268383,-0.42774595542725957,-0.3021950271950272,0.08719872227960224
2019-06-05,5,6,2019,Wednesday,3,346.220001,353.25,332.48999,348.75,342.538391,3188400,118.220001,119.860001,117.779999,118.699997,111.723244,1234756,positive,positive,65,2.5299989999999752,0.47999599999999987,0.23415307796919982,-0.7575781450836182,-0.11243493026751661,-0.020032587379176348
2019-06-06,6,6,2019,Thursday,4,348.179993,351.640015,345.579987,350.640015,344.394775,2582300,119.040001,120.559998,117.779999,117.959999,111.026741,1025038,positive,Negative,66,2.460021999999981,-1.0800020000000075,-0.027658904213003654,-3.2500229168576564,-0.1900953456279011,-0.16984570230879625
2019-06-07,7,6,2019,Friday,5,352.299988,355.279999,352.299988,353.700012,347.400238,2470700,118.400002,122.440002,118.059998,120.919998,113.812759,1199498,positive,positive,67,1.4000240000000304,2.519996000000006,-0.43088964245033534,-3.3333253086568253,-0.043217286914765896,0.17019856824820145
2019-06-10,10,6,2019,Monday,1,356.0,357.399994,353.549988,353.799988,347.498444,2560800,121.940002,122.0,120.160004,121.059998,113.944534,507749,Negative,Negative,68,-2.200012000000015,-0.8800040000000138,-2.571410204396473,-1.349208490807133,0.036467397903428234,-0.5766987523113836
2019-06-11,11,6,2019,Tuesday,2,355.420013,355.470001,348.130005,349.329987,343.108063,2702700,121.5,124.160004,121.480003,123.400002,116.146996,1125280,Negative,positive,69,-6.090025999999966,1.9000020000000006,1.7681785372079446,-3.1590833678028405,0.055412371134020644,1.2162131289278757
2019-06-12,12,6,2019,Wednesday,3,349.0,349.269989,342.799988,347.029999,340.84906,2738300,122.18,123.160004,121.0,122.279999,115.092819,924062,Negative,positive,70,-1.9700010000000248,0.09999899999999684,-0.6765201002425876,-0.9473690027694724,0.01317201317201322,-0.17881593914403526
2019-06-13,13,6,2019,Thursday,4,347.25,349.059998,344.100006,348.859985,342.646423,2621300,122.400002,123.699997,122.0,122.660004,115.450493,890365,positive,positive,71,1.6099849999999947,0.26000200000000007,-1.8172508541873706,1.6000460004600874,-0.042727239528174366,-0.036466167854537934
2019-06-14,14,6,2019,Friday,5,348.0,349.170013,345.890015,347.160004,340.976685,2258400,122.760002,122.940002,121.040001,122.419998,115.224602,873534,Negative,Negative,72,-0.8399959999999851,-0.3400039999999933,-1.521741506908442,-2.307697633095104,-0.1384427574104452,-0.018903483402874066
2019-06-17,17,6,2019,Monday,1,348.619995,356.049988,347.049988,354.899994,348.578857,3746400,122.839996,125.139999,122.400002,125.0,117.652954,1368430,positive,positive,73,6.279998999999975,2.1600040000000007,-8.476224886785278,-7.352878201433051,0.658873538788523,0.5665446336376145
2019-06-18,18,6,2019,Tuesday,2,357.609985,374.649994,357.600006,373.959991,367.299377,9199200,124.779999,126.5,124.580002,125.459999,118.085915,1679579,positive,positive,74,16.350006000000008,0.6799999999999926,1.6035045546981888,-0.6851857681745068,1.455477258167841,0.22737662869127395
2019-06-19,19,6,2019,Wednesday,3,375.399994,379.309998,368.350006,368.559998,361.995575,5716000,125.599998,125.760002,122.559998,123.0,115.770508,1646889,Negative,Negative,75,-6.839995999999985,-2.5999979999999994,-1.4183482256826072,-4.823526470588276,-0.3786416210105227,-0.019463210721258117
2019-06-20,20,6,2019,Thursday,4,373.0,375.790009,368.959991,374.880005,368.202972,3794500,123.0,124.239998,121.779999,123.459999,116.203468,1751922,positive,positive,76,1.8800049999999828,0.45999899999999627,-1.2748546928974793,-1.1769228284021742,-0.3361616515045487,0.06377661153848257
2019-06-21,21,6,2019,Friday,5,374.390015,376.109985,371.720001,371.839996,365.217133,4923700,123.279999,124.980003,122.760002,122.779999,115.563431,2456772,Negative,Negative,77,-2.5500190000000202,-0.5,-2.3563894776875824,-2.086958884693236,0.2975886151008038,0.40232955576789386
2019-06-24,24,6,2019,Monday,1,372.950012,375.48999,372.100006,373.98999,367.328827,2323200,122.559998,123.440002,122.400002,123.260002,116.015221,839580,positive,positive,78,1.0399779999999623,0.700004000000007,-1.4078314710596094,-2.400008000000014,-0.528159717285781,-0.658258886050476
2019-06-25,25,6,2019,Tuesday,2,374.75,375.25,368.029999,369.320007,362.742035,3005400,122.599998,125.239998,122.599998,125.18,117.822372,1068534,Negative,positive,79,-5.4299930000000245,2.5800020000000075,-6.221257565064089,2.68569608173665,0.2936466942148761,0.2727006360323019
