Date,Day,Month,Year,dayName,dayOfWeek,Open_BA,Close_BA,Volume_BA,Open_AIR,Close_AIR,Volume_AIR,Performance_BA,Performance_AIR,Event
01-10-2018,1,10,2018,Monday,1,375.160004,382.290009,4755700,108.68,107.400002,824742,1,0,0
02-10-2018,2,10,2018,Tuesday,2,380.850006,386.369995,4622600,106.300003,105.68,1403390,1,0,0
03-10-2018,3,10,2018,Wednesday,3,388.899994,392.299988,4794300,106.239998,107.059998,1167252,1,1,0
04-10-2018,4,10,2018,Thursday,4,390.73999,389.98999,3822300,106.739998,105.260002,1429096,0,0,0
05-10-2018,5,10,2018,Friday,5,389,386.470001,2899700,105.599998,104,1067060,0,0,0
08-10-2018,8,10,2018,Monday,1,383.839996,385.769989,3324000,104.339996,103.620003,1659963,1,0,0
09-10-2018,9,10,2018,Tuesday,2,384.369995,385.440002,2862700,103.760002,102.5,1306812,1,0,0
10-10-2018,10,10,2018,Wednesday,3,382.959991,367.470001,6033100,102.699997,98.989998,1831247,0,0,0
11-10-2018,11,10,2018,Thursday,4,363.440002,358.109985,6266800,97.019997,97.330002,3507915,0,1,0
12-10-2018,12,10,2018,Friday,5,366.01001,360.109985,5509700,99,100.260002,2510746,0,1,0
15-10-2018,15,10,2018,Monday,1,359.459991,358.880005,2979800,99.139999,97.809998,1822785,0,0,0
16-10-2018,16,10,2018,Tuesday,2,360.450012,368.25,2822500,97.800003,101.720001,1877647,1,1,0
17-10-2018,17,10,2018,Wednesday,3,368,365.5,2238200,102.239998,100.860001,1286634,0,0,0
18-10-2018,18,10,2018,Thursday,4,364.820007,359.350006,3254900,100.279999,99.309998,1630849,0,0,0
19-10-2018,19,10,2018,Friday,5,359.799988,356.26001,3491600,99.790001,97.949997,2488856,0,0,0
22-10-2018,22,10,2018,Monday,1,357.850006,355.980011,2263500,98.339996,96.309998,1441080,0,0,0
23-10-2018,23,10,2018,Tuesday,2,349.5,350.049988,4389600,96.5,94.139999,2542403,1,0,0
24-10-2018,24,10,2018,Wednesday,3,361.589996,354.649994,8442600,95.260002,95.309998,2651513,0,1,0
25-10-2018,25,10,2018,Thursday,4,357.299988,363.769989,4003500,95.019997,97.940002,2271247,1,1,0
26-10-2018,26,10,2018,Friday,5,360.700012,359.269989,4073000,96.879997,96.150002,3184210,0,0,0
29-10-2018,29,10,2018,Monday,1,360.549988,335.589996,7462000,95.389999,95.830002,1467805,0,1,1
30-10-2018,30,10,2018,Tuesday,2,330.350006,349.910004,5774000,96.480003,93.900002,2644992,1,0,0
31-10-2018,31,10,2018,Wednesday,3,352.51001,354.859985,4175600,96.25,97.709999,3915169,1,1,0
01-11-2018,1,11,2018,Thursday,4,357.470001,363.070007,3760700,97.639999,96.5,1878563,1,0,0
02-11-2018,2,11,2018,Friday,5,366.970001,357.75,4029800,97.290001,95.610001,1694118,0,0,0
05-11-2018,5,11,2018,Monday,1,359.76001,361.980011,2253900,96.010002,95.379997,1217718,1,0,0
06-11-2018,6,11,2018,Tuesday,2,362.410004,366.470001,2471900,96,95.849998,1340977,1,0,0
07-11-2018,7,11,2018,Wednesday,3,367.640015,372.019989,4015300,96.400002,96.089996,1152082,1,0,0
08-11-2018,8,11,2018,Thursday,4,369.329987,370.769989,2751800,96.089996,95.650002,1182886,1,0,0
09-11-2018,9,11,2018,Friday,5,367.829987,369.339996,2590300,95.449997,94.68,1236728,1,0,0
12-11-2018,12,11,2018,Monday,1,370.209991,357.029999,3088700,94.900002,94.389999,973198,0,0,0
13-11-2018,13,11,2018,Tuesday,2,349.549988,349.51001,4960000,94.57,96.419998,1377906,0,1,0
14-11-2018,14,11,2018,Wednesday,3,352.089996,344.720001,3445800,95.879997,95.529999,1460615,0,0,0
15-11-2018,15,11,2018,Thursday,4,341.119995,341.570007,4863000,96.360001,93.860001,1396280,1,0,0
16-11-2018,16,11,2018,Friday,5,339,335.950012,4425200,94.580002,92.889999,1497327,0,0,0
19-11-2018,19,11,2018,Monday,1,335.549988,320.940002,6782800,92.900002,92.57,1260960,0,0,0
20-11-2018,20,11,2018,Tuesday,2,302.100006,317.700012,6875900,91.559998,91.07,1772439,1,0,0
21-11-2018,21,11,2018,Wednesday,3,325.070007,317.320007,4401000,91.980003,93.169998,1473760,0,1,0
23-11-2018,23,11,2018,Friday,5,315,312.320007,1599400,92.139999,93.410004,901392,0,1,0
26-11-2018,26,11,2018,Monday,1,315.559998,316.359985,3362300,94.199997,93.580002,1261680,1,0,0
27-11-2018,27,11,2018,Tuesday,2,315.279999,318.029999,2946400,93.830002,93.699997,1306476,1,0,0
28-11-2018,28,11,2018,Wednesday,3,325.720001,333.5,6117600,93.959999,93.5,1231357,1,0,0
29-11-2018,29,11,2018,Thursday,4,335.970001,342.559998,5331900,94,94.860001,1819874,1,1,0
30-11-2018,30,11,2018,Friday,5,341.940002,346.76001,5374000,95.370003,94.620003,1370144,1,0,0
03-12-2018,3,12,2018,Monday,1,364.309998,359.959991,6573400,97.269997,95.699997,1246570,0,0,0
04-12-2018,4,12,2018,Tuesday,2,357,342.5,5199100,95.389999,94.269997,1354279,0,0,0
06-12-2018,6,12,2018,Thursday,4,329.98999,331.899994,9297400,90.940002,88.639999,2054120,1,0,0
07-12-2018,7,12,2018,Friday,5,332.350006,323.220001,4526300,90.050003,89.07,1517734,0,0,0
10-12-2018,10,12,2018,Monday,1,321.269989,326.350006,4400500,88.610001,87.489998,1787443,1,0,0
11-12-2018,11,12,2018,Tuesday,2,333.25,322.029999,3566400,88.080002,88.599998,1605717,0,1,0
12-12-2018,12,12,2018,Wednesday,3,327.380005,326.690002,3424800,89.18,91.480003,2067671,0,1,0
13-12-2018,13,12,2018,Thursday,4,328.399994,325.470001,2247700,91.57,89.970001,1739620,0,0,0
14-12-2018,14,12,2018,Friday,5,322.450012,318.75,3298400,89.290001,88.669998,2106031,0,0,0
17-12-2018,17,12,2018,Monday,1,316.910004,316.130005,4968400,88.43,87.650002,1316386,0,0,0
18-12-2018,18,12,2018,Tuesday,2,325.459991,328.059998,5881100,87.580002,88.650002,1654569,1,1,0
19-12-2018,19,12,2018,Wednesday,3,329.329987,319.549988,4871500,88.830002,87.199997,1731218,0,0,0
20-12-2018,20,12,2018,Thursday,4,317,313.049988,5368600,85.599998,83.330002,3558647,0,0,0
21-12-2018,21,12,2018,Friday,5,309.089996,304.549988,7641700,82.75,83.099998,3670837,0,1,0
24-12-2018,24,12,2018,Monday,1,300.649994,294.160004,3435300,81.540001,81.629997,392591,0,1,0
27-12-2018,27,12,2018,Thursday,4,309.040009,317.140015,4341100,82.919998,82.099998,1611466,1,0,0
28-12-2018,28,12,2018,Friday,5,319.73999,316.380005,3725200,82.980003,83.760002,1257945,0,1,0
31-12-2018,31,12,2018,Monday,1,320.5,322.5,3557700,83.830002,83.959999,426473,1,1,0
02-01-2019,2,1,2019,Wednesday,3,316.190002,323.809998,3292200,83.580002,84.169998,1483033,1,1,0
03-01-2019,3,1,2019,Thursday,4,319.48999,310.899994,5705600,83.330002,81.209999,1964509,0,0,0
04-01-2019,4,1,2019,Friday,5,316.690002,327.079987,4448800,82.160004,85.120003,2006859,1,1,0
07-01-2019,7,1,2019,Monday,1,330.519989,328.109985,4030300,85.959999,83.559998,1428948,0,0,0
08-01-2019,8,1,2019,Tuesday,2,334.109985,340.529999,4736500,83.830002,86.650002,2533915,1,1,0
09-01-2019,9,1,2019,Wednesday,3,342.959991,343.829987,4213900,88.5,89.68,2365398,1,1,0
10-01-2019,10,1,2019,Thursday,4,346.51001,352.609985,5358100,89,89.610001,1321653,1,1,0
11-01-2019,11,1,2019,Friday,5,348.559998,352.899994,3158900,89.919998,88.379997,1184652,1,0,0
