Date,Day,Month,Year,dayName,dayOfWeek,Open_BA,High_BA,Low_BA,Close_BA,Adj_Close_BA,Volume_BA,Open_AIR,High_AIR,Low_AIR,Close_AIR,Adj_Close_AIR,Volume_AIR,Performance_BA,Performance_AIR,Count,Change_BA,Change_AIR,%Change_BA,%Change_AIR,%Change_Volume_BA,%Change_Volume_AIR
04-03-2019,4,3,2019,Monday,1,443.220001,444.5,426.630005,432.690002,422.555725,5971000,114.300003,114.900002,113.68,114.019997,105.825272,1133867,Negative,Negative,2,-10.529999,-0.280006,0.953612188,0.750081252,0.165255064,-0.102881638
05-03-2019,5,3,2019,Tuesday,2,431.040009,433.850006,428.640015,430.119995,420.045898,2844300,113.5,113.660004,112.120003,113.239998,105.101334,1510042,Negative,Negative,3,-0.920014,-0.260002,-0.912629241,-0.071441326,-0.52364763,0.331762896
06-03-2019,6,3,2019,Wednesday,3,429.700012,432,422.079987,424.459991,414.518463,4159400,112.839996,113.940002,112.82,113.720001,105.546837,1035032,Negative,positive,4,-5.240021,0.880005,4.695588328,-4.38460858,0.462363323,-0.314567409
07-03-2019,7,3,2019,Thursday,4,423.359985,434.350006,416.440002,422.559998,412.662964,4893600,113.139999,113.660004,112.080002,112.739998,104.637268,1682374,Negative,Negative,5,-0.799987,-0.400001,-0.847331337,-1.454544008,0.176515844,0.625431871
08-03-2019,8,3,2019,Friday,5,416.769989,423.429993,415.5,422.540009,412.643463,3794900,110.919998,111.919998,109.300003,111.519997,103.504936,1678207,positive,positive,6,5.77002,0.599999,-8.212642205,-2.49999375,-0.224517737,-0.002476857
11-03-2019,11,3,2019,Monday,1,371.269989,402.670013,365.549988,400.01001,390.641113,34742200,112,113.160004,111.559998,112.959999,104.841454,1217340,positive,positive,7,28.740021,0.959999,3.98092225,0.600001,8.154971145,-0.274618685
12-03-2019,12,3,2019,Tuesday,2,384.709991,390,368,375.410004,366.61731,36922600,114.099998,114.68,112.699997,114.580002,106.345024,1614290,Negative,positive,8,-9.299987,0.480004,-1.323590125,-0.499995312,0.062759411,0.326079813
13-03-2019,13,3,2019,Wednesday,3,378.429993,381.769989,363.329987,377.140015,368.306793,32662300,115,116.959999,114.580002,116.879997,108.479713,2334138,Negative,positive,9,-1.289978,1.879997,-0.861292494,2.916627778,-0.115384615,0.445922356
14-03-2019,14,3,2019,Thursday,4,374.98999,380.390015,372.100006,373.299988,364.556732,13514100,117.019997,117.239998,115.300003,117,108.591095,1698454,Negative,Negative,10,-1.690002,-0.019997,0.310101413,-1.010636719,-0.586247754,-0.272342081
15-03-2019,15,3,2019,Friday,5,370.880005,385.709991,366.450012,378.98999,370.113464,26697700,116.900002,119.239998,116.82,117.68,109.222221,3463099,positive,positive,11,8.109985,0.779998,-5.798802013,-40.00575086,0.975544061,1.038971323
